X,Y,Z,Name,id,alt_name,latitude,longitude,name2
106.8496,-6.4815,0,KABUPATEN BOGOR,3201,KABUPATEN BOGOR,"-6.4815",106.8496,KABUPATEN BOGOR
106.92667,-6.91806,0,KABUPATEN SUKABUMI,3202,KABUPATEN SUKABUMI,-6.91806 ,106.92667,KABUPATEN SUKABUMI
107.13944,-6.82222,0,KABUPATEN CIANJUR,3203,KABUPATEN CIANJUR,"-6.82222",107.13944,KABUPATEN CIANJUR
107.60981,-6.914744,0,KABUPATEN BANDUNG,3204,KABUPATEN BANDUNG,"-6.914744",107.60981,KABUPATEN BANDUNG
107.921,-7.245,0,KABUPATEN GARUT,3205,KABUPATEN GARUT,-7.245 ,107.921,KABUPATEN GARUT
108.2207,-7.3274,0,KABUPATEN TASIKMALAYA,3206,KABUPATEN TASIKMALAYA,-7.3274 ,108.2207,KABUPATEN TASIKMALAYA
108.411,-7.2281,0,KABUPATEN CIAMIS,3207,KABUPATEN CIAMIS,"-7.2281",108.411,KABUPATEN CIAMIS
108.534,-7.0021,0,KABUPATEN KUNINGAN,3208,KABUPATEN KUNINGAN,"-7.0021",108.534,KABUPATEN KUNINGAN
108.5821,-6.741,0,KABUPATEN CIREBON,3209,KABUPATEN CIREBON,"-6.7410",108.5821,KABUPATEN CIREBON
108.22778,-6.83611,0,KABUPATEN MAJALENGKA,3210,KABUPATEN MAJALENGKA,"-6.83611",108.22778,KABUPATEN MAJALENGKA
107.961,-6.822,0,KABUPATEN SUMEDANG,3211,KABUPATEN SUMEDANG,"-6.8220",107.961,KABUPATEN SUMEDANG
108.121,-6.411,0,KABUPATEN INDRAMAYU,3212,KABUPATEN INDRAMAYU,"-6.4110",108.121,KABUPATEN INDRAMAYU
107.712,-6.482,0,KABUPATEN SUBANG,3213,KABUPATEN SUBANG,"-6.4820",107.712,KABUPATEN SUBANG
107.451,-6.591,0,KABUPATEN PURWAKARTA,3214,KABUPATEN PURWAKARTA,"-6.5910",107.451,KABUPATEN PURWAKARTA
107.321,-6.192,0,KABUPATEN KARAWANG,3215,KABUPATEN KARAWANG,"-6.1920",107.321,KABUPATEN KARAWANG
107.121,-6.182,0,KABUPATEN BEKASI,3216,KABUPATEN BEKASI,"-6.1820",107.121,KABUPATEN BEKASI
107.451,-6.892,0,KABUPATEN BANDUNG BARAT,3217,KABUPATEN BANDUNG BARAT,"-6.8920",107.451,KABUPATEN BANDUNG BARAT
108.491,-7.671,0,KABUPATEN PANGANDARAN,3218,KABUPATEN PANGANDARAN,"-7.6710",108.491,KABUPATEN PANGANDARAN
106.7973,-6.5971,0,KOTA BOGOR,3271,KOTA BOGOR,"-6.5971",106.7973,KOTA BOGOR
106.9266,-6.9181,0,KOTA SUKABUMI,3272,KOTA SUKABUMI,"-6.9181",106.9266,KOTA SUKABUMI
107.6191,-6.9175,0,KOTA BANDUNG,3273,KOTA BANDUNG,"-6.9175",107.6191,KOTA BANDUNG
108.557,-6.7063,0,KOTA CIREBON,3274,KOTA CIREBON,"-6.7063",108.557,KOTA CIREBON
106.9756,-6.2383,0,KOTA BEKASI,3275,KOTA BEKASI,"-6.2383",106.9756,KOTA BEKASI
106.7942,-6.4025,0,KOTA DEPOK,3276,KOTA DEPOK,"-6.4025",106.7942,KOTA DEPOK
107.5413,-6.8841,0,KOTA CIMAHI,3277,KOTA CIMAHI,"-6.8841",107.5413,KOTA CIMAHI
108.2207,-7.3274,0,KOTA TASIKMALAYA,3278,KOTA TASIKMALAYA,"-7.3274",108.2207,KOTA TASIKMALAYA
108.5414,-7.3711,0,KOTA BANJAR,3279,KOTA BANJAR,"-7.3711",108.5414,KOTA BANJAR
